"assay_date"	"CEL.file"
2013-03-21	"GSM1466462_43_cd.CEL"
2013-03-21	"GSM1466463_43_hfd.CEL"
2013-03-21	"GSM1466464_44_cd.CEL"
2013-03-21	"GSM1466465_44_hfd.CEL"
2013-03-21	"GSM1466466_45_cd.CEL"
2013-03-21	"GSM1466467_45_hfd.CEL"
2013-03-21	"GSM1466468_48_cd.CEL"
2013-03-21	"GSM1466469_48_hfd.CEL"
2013-03-21	"GSM1466470_49_cd.CEL"
2013-03-21	"GSM1466471_49_hfd.CEL"
2013-03-21	"GSM1466472_50_hfd.CEL"
2013-03-21	"GSM1466473_51_cd.CEL"
2013-03-21	"GSM1466474_51_hfd.CEL"
2013-03-21	"GSM1466475_55_cd1.CEL"
2013-03-21	"GSM1466476_55_hfd.CEL"
2013-03-21	"GSM1466477_56_cd.CEL"
2013-03-21	"GSM1466478_56_hfd.CEL"
2013-03-21	"GSM1466479_60_cd.CEL"
2013-03-21	"GSM1466480_61_cd.CEL"
2013-03-21	"GSM1466481_61_hfd.CEL"
2013-03-26	"GSM1466482_62_cd.CEL"
2013-03-26	"GSM1466483_62_hfd.CEL"
2013-03-26	"GSM1466484_63_cd.CEL"
2013-03-26	"GSM1466485_63_hfd.CEL"
2013-03-26	"GSM1466486_64_cd.CEL"
2013-03-26	"GSM1466487_64_hfd.CEL"
2013-03-26	"GSM1466488_65_cd.CEL"
2013-03-26	"GSM1466489_65_hfd.CEL"
2013-03-26	"GSM1466490_66_cd.CEL"
2013-03-26	"GSM1466491_66_hfd.CEL"
2013-03-26	"GSM1466492_68_cd.CEL"
2013-03-26	"GSM1466493_68_hfd.CEL"
2013-03-26	"GSM1466494_69_cd.CEL"
2013-03-26	"GSM1466495_69_hfd.CEL"
2013-03-26	"GSM1466496_70_cd.CEL"
2013-03-26	"GSM1466497_70_hfd.CEL"
2013-03-26	"GSM1466498_71_cd.CEL"
2013-03-26	"GSM1466499_71_hfd.CEL"
2013-03-26	"GSM1466500_73_cd.CEL"
2013-03-26	"GSM1466501_73_hfd.CEL"
2013-03-26	"GSM1466502_75_cd.CEL"
2013-03-26	"GSM1466503_75_hfd.CEL"
2013-03-26	"GSM1466504_79_cd.CEL"
2013-03-26	"GSM1466505_79_hfd.CEL"
2013-03-27	"GSM1466506_80_cd.CEL"
2013-03-27	"GSM1466507_80_hfd.CEL"
2013-03-27	"GSM1466508_81_cd.CEL"
2013-03-27	"GSM1466509_81_hfd.CEL"
2013-03-27	"GSM1466510_83_cd.CEL"
2013-03-27	"GSM1466511_83_hfd.CEL"
2013-03-27	"GSM1466512_84_cd.CEL"
2013-03-27	"GSM1466513_84_hfd.CEL"
2013-03-27	"GSM1466514_85_cd.CEL"
2013-03-27	"GSM1466515_85_hfd.CEL"
2013-03-27	"GSM1466516_87_cd.CEL"
2013-03-27	"GSM1466517_87_hfd.CEL"
2013-03-27	"GSM1466518_89_cd.CEL"
2013-03-27	"GSM1466519_89_hfd.CEL"
2013-03-27	"GSM1466520_90_cd.CEL"
2013-03-27	"GSM1466521_90_hfd.CEL"
2013-03-27	"GSM1466522_92a_cd.CEL"
2013-03-27	"GSM1466523_95_cd.CEL"
2013-03-27	"GSM1466524_95_hfd.CEL"
2013-03-27	"GSM1466525_96_cd.CEL"
2013-03-27	"GSM1466526_96_hfd.CEL"
2013-03-27	"GSM1466527_97_cd.CEL"
2013-03-27	"GSM1466528_97_hfd.CEL"
2013-03-27	"GSM1466529_98_cd.CEL"
2013-03-28	"GSM1466530_98_hfd.CEL"
2013-03-28	"GSM1466531_99_cd.CEL"
2013-03-28	"GSM1466532_99_hfd.CEL"
2013-03-28	"GSM1466533_100_cd.CEL"
2013-03-28	"GSM1466534_100_hfd.CEL"
2013-03-28	"GSM1466535_101_cd.CEL"
2013-03-28	"GSM1466536_101_hfd.CEL"
2013-03-28	"GSM1466537_103_cd.CEL"
2013-03-28	"GSM1466538_103_hfd.CEL"
2013-03-21	"GSM1466539_c57_cd.CEL"
2013-03-21	"GSM1466540_c57_hfd.CEL"
2013-03-21	"GSM1466541_dba_cd.CEL"
2013-03-21	"GSM1466542_dba_hfd.CEL"
