sample_ID_EPFL	Sample name	title	CEL file	source name	organism	characteristics: organism_NCBI_txid	characteristics: strain	characteristics: sex	characteristics: age	characteristics: diet_ID	characteristics: diet_description	characteristics: dietary_intervention	characteristics: diet_composition	characteristics: diet_REF	characteristics: tissue	characteristics: tissue_REF	characteristics: tissue_sample_ID	characteristics: mean_extracted_RNA_concentration_before pooling	characteristics: mean_extracted_RNA_concentration_before pooling_unit	characteristics: mean_nanodrop_260_280_ratio_before_pooling	characteristics: mean_nanodrop_260_230_ratio_before_pooling	characteristics: assay_date	characteristics: geo_accession	platform	molecule	label	description	solvent	platform_name	data
BXD43_CD_liver	GSM1466462_43_cd.CEL	BXD43-liver-CD	GSM1466462_43_cd.CEL.gz	liver, chow diet	Mus musculus	10090	BXD43	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD43_CD_221,BXD43_CD_223,BXD43_CD_225	953.266666666667	ng/ul	1.85	1.66666666666667	2013-03-21	GSM1466462	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD43 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466462/suppl/GSM1466462_43_cd.CEL.gz
BXD43_HFD_liver	GSM1466463_43_hfd.CEL	BXD43-liver-HFD	GSM1466463_43_hfd.CEL.gz	liver, high fat diet	Mus musculus	10090	BXD43	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD43_HFD_228,BXD43_HFD_229,BXD43_HFD_230	918.933333333333	ng/ul	1.99	1.22333333333333	2013-03-21	GSM1466463	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD43 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466463/suppl/GSM1466463_43_hfd.CEL.gz
BXD44_CD_liver	GSM1466464_44_cd.CEL	BXD44-liver-CD	GSM1466464_44_cd.CEL.gz	liver, chow diet	Mus musculus	10090	BXD44	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD44_CD_174,BXD44_CD_173,BXD44_CD_172	644.166666666667	ng/ul	1.98333333333333	1.53	2013-03-21	GSM1466464	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD44 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466464/suppl/GSM1466464_44_cd.CEL.gz
BXD44_HFD_liver	GSM1466465_44_hfd.CEL	BXD44-liver-HFD	GSM1466465_44_hfd.CEL.gz	liver, high fat diet	Mus musculus	10090	BXD44	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD44_HFD_179,BXD44_HFD_178,BXD44_HFD_177,BXD44_HFD_176	915.275	ng/ul	1.985	1.1275	2013-03-21	GSM1466465	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD44 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466465/suppl/GSM1466465_44_hfd.CEL.gz
BXD45_CD_liver	GSM1466466_45_cd.CEL	BXD45-liver-CD	GSM1466466_45_cd.CEL.gz	liver, chow diet	Mus musculus	10090	BXD45	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD45_CD_31,BXD45_CD_32,BXD45_CD_33,BXD45_CD_34,BXD45_CD_35	1065.76	ng/ul	1.948	1.086	2013-03-21	GSM1466466	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD45 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466466/suppl/GSM1466466_45_cd.CEL.gz
BXD45_HFD_liver	GSM1466467_45_hfd.CEL	BXD45-liver-HFD	GSM1466467_45_hfd.CEL.gz	liver, high fat diet	Mus musculus	10090	BXD45	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD45_HFD_36,BXD45_HFD_37,BXD45_HFD_38,BXD45_HFD_40	723.325	ng/ul	1.86	1.27	2013-03-21	GSM1466467	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD45 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466467/suppl/GSM1466467_45_hfd.CEL.gz
BXD48_CD_liver	GSM1466468_48_cd.CEL	BXD48-liver-CD	GSM1466468_48_cd.CEL.gz	liver, chow diet	Mus musculus	10090	BXD48	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD48_CD_291,BXD48_CD_292,BXD48_CD_293,BXD48_CD_294,BXD48_CD_295	903.3	ng/ul	1.892	1.778	2013-03-21	GSM1466468	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD48 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466468/suppl/GSM1466468_48_cd.CEL.gz
BXD48_HFD_liver	GSM1466469_48_hfd.CEL	BXD48-liver-HFD	GSM1466469_48_hfd.CEL.gz	liver, high fat diet	Mus musculus	10090	BXD48	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD48_HFD_296,BXD48_HFD_297,BXD48_HFD_298,BXD48_HFD_299,BXD48_HFD_300	637.04	ng/ul	1.818	1.35	2013-03-21	GSM1466469	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD48 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466469/suppl/GSM1466469_48_hfd.CEL.gz
BXD49_CD_liver	GSM1466470_49_cd.CEL	BXD49-liver-CD	GSM1466470_49_cd.CEL.gz	liver, chow diet	Mus musculus	10090	BXD49	male	29 weeks	CD	chow diet	Mice were fed a chow diet (CD) ad libitum through their entire life.	fat: 6% kCal, protein: 20% kCal, carbohydrates: 74% kCal	Harlan, 2018, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD49_CD_304,BXD49_CD_301,BXD49_CD_302,BXD49_CD_303	874.95	ng/ul	1.885	1.385	2013-03-21	GSM1466470	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD49 mice fed on chow diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466470/suppl/GSM1466470_49_cd.CEL.gz
BXD49_HFD_liver	GSM1466471_49_hfd.CEL	BXD49-liver-HFD	GSM1466471_49_hfd.CEL.gz	liver, high fat diet	Mus musculus	10090	BXD49	male	29 weeks	HFD	high fat diet	Mice were fed a chow diet (CD) ad libitum until 8 weeks of age. From 8 weeks until heuthanasia, mice were then fed a high-fat diet (HFD) ad libitum.	fat: 60% kCal, protein: 20% kCal	Harlan, 06414, Indianapolis, IN, USA	liver	http://purl.obolibrary.org/obo/MA_0000358	BXD49_HFD_307,BXD49_HFD_308,BXD49_HFD_309,BXD49_HFD_310	817.25	ng/ul	1.86	1.2075	2013-03-21	GSM1466471	GPL6246	total RNA	biotin	Gene expression data from pooled RNA extract of liver samples collected on 29 weeks old male BXD49 mice fed on high fat diet	RNAse free water	Affymetrix Mouse Gene 1.0 ST Array	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1466nnn/GSM1466471/suppl/GSM1466471_49_hfd.CEL.gz
